Sample	Condition	Replication	DNAConcentration	Mean16sCount	MicrobesPerGram	RatioBacteroidetesFirmicutes	RawReads	DeduplicatedReads	TrimmedReads	HostRemovedReads	OrphanReads	AbsoluteAbundanceFirmicutes	AbsoluteAbundanceBacteroidetes	AbsoluteAbundanceActinobacteria	AbsoluteAbundanceOtherBacteria	AbsoluteAbundanceViruses	AbsoluteAbundanceFungi	AbsoluteAbundanceUnclassifiedRoot	AbsoluteAbundanceUnclassified	ShannonEntropy	InverseSimpson	RichnessAbove0.01	RelativeAbundanceFirmicutes	RelativeAbundanceBacteroidetes	RelativeAbundanceActinobacteria	RelativeAbundanceOtherBacteria	RelativeAbundanceViruses	RelativeAbundanceFungi	RelativeAbundanceUnclassifiedRoot	RelativeAbundanceUnclassified
D03-OF-R2	OF	R2	26.2	4.395748492	3.01e+12	1.317605718	32849354	28682030	27947904	21273285	1078510	1.13e+12	1.49e+12	1.05e+11	16454008024	5208250201	1877514975	2.56e+11	1.84e+11	2.605237064	5.880244787	82	0.376308464	0.495826184	0.034739562	0.005465084	0.001729884	0.000623603	0.085102514	0.061244243
D03-OF-R3	OF	R3	31.2	4.460795142	586339143	1.028403976	29948878	26648179	25952097	20258172	994871	251233749.1	258369786.4	22907161.42	3043494.38	1076952.378	368737.6867	49174729.29	35761626.78	2.737007782	6.970867179	84	0.428478556	0.44064905	0.039068109	0.005190672	0.00183674	0.000628881	0.083867383	0.060991369
D03-OH-R1	OH	R1	38.8	4.465382506	5.72e+12	1.000365939	135315179	106218215	103434136	80727032	3983743	2.49e+12	2.49e+12	2.54e+11	33084262831	9512658482	3801974117	4.43e+11	3.32e+11	2.720977406	6.487628925	86	0.434815503	0.434974619	0.044440955	0.005785561	0.001663512	0.000664865	0.077472593	0.058000422
D03-OH-R2	OH	R2	28	4.477203931	2.51e+12	1.156139123	28540688	25177857	24467851	17684511	1061516	1.02e+12	1.18e+12	69705382262	16635818442	8103038898	1498077344	2.26e+11	1.72e+11	2.609193238	6.06367145	86	0.404371533	0.46750975	0.027719154	0.006615426	0.003222267	0.000595728	0.089848621	0.068416598
D03-OH-R3	OH	R3	35.6	4.506291267	3.56e+11	1.127501061	35901911	31745428	30935887	25708358	1159385	1.47e+11	1.66e+11	9525348784	2230795042	1258531563	213557008.5	30793013860	23345425052	2.650513705	6.409321984	87	0.411908702	0.464427499	0.026726476	0.006259224	0.003531221	0.000599204	0.086399854	0.065503212
D03-OR-R1	OR	R1	24	4.295434664	9.94e+11	1.655921664	85229882	68313615	66500541	48776281	2549175	3.22e+11	5.34e+11	30510831383	7248817056	2510744879	670712008.8	95995583543	72339543570	2.530950809	4.987538743	86	0.324567456	0.537458282	0.030707603	0.007295566	0.002526937	0.000675038	0.096614681	0.072806078
D03-OR-R2	OR	R2	37.8	4.369110468	1.13e+11	1.11311257	23988480	21432482	20882909	16938851	806663	45856354877	51043285038	5288150487	606037677.4	244346248.2	67869805.26	9819920942	7147428445	2.750233165	6.533239658	93	0.405964012	0.451883645	0.046815731	0.005365221	0.002163185	0.000600848	0.086935268	0.063275826
D03-OR-R3	OR	R3	37.4	4.410526771	2.6e+12	0.945355165	30724862	27585028	26869472	23084082	999644	1.14e+12	1.08e+12	1.31e+11	13650485420	5532661409	1600251252	2.23e+11	1.64e+11	2.852452505	7.603319791	93	0.439895493	0.415857476	0.05034125	0.005244937	0.002125819	0.000614866	0.085583822	0.062970182
D03-ZF-R1	ZF	R1	9.16	4.421716852	5.8e+11	0.892098561	58053444	50320391	49134909	37847878	1760631	2.62e+11	2.34e+11	25486306687	3835419690	1707334956	361635006.9	53020148353	40393295874	2.904985176	8.570846367	89	0.451388557	0.402683082	0.043937613	0.006612146	0.002943393	0.000623448	0.091405113	0.069636806
D03-ZF-R2	ZF	R2	8	4.538685312	2.29e+11	0.599305112	42849585	36975500	36030107	26496355	1375443	1.23e+11	73752122757	12731715399	1113591131	401088318.1	139592604	17808061937	13489681535	2.991331671	10.04225688	87	0.537150324	0.321916935	0.055572025	0.004860658	0.00175069	0.000609301	0.077729515	0.058880433
