Well,Well96,PCR_Replicate,Plate,SampleName,Donor,Condition,Replicate,SampleCode,SampleNameFull,label,Omit,Sample,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues,logCopyNumber,CopyNumber,PlotOrder
E6,C3,Rep2,Plate1,D07_ZR_R1,D07,ZR,R1,1-1-17,D07_ZR_R1_Rep2,E6 Well,false,Sample,16S,Unknown,SYBR,15.2967075717957,0.884867810226603,3.4653646667958,Amp,false,3,8,NA,NA,6.72467318368749,884141820.15121,6
E7,C4,Rep1,Plate1,D05_OH_R1,D05,OH,R1,1-3-4,D05_OH_R1_Rep1,E7 Well,false,Sample,16S,Unknown,SYBR,12.0924341105773,0.7528269468558324,3.47602811504014,Amp,false,3,6,NA,NA,7.81828187352309,10968080344.7055,4
E8,C4,Rep2,Plate1,D05_OH_R1,D05,OH,R1,1-3-4,D05_OH_R1_Rep2,E8 Well,false,Sample,16S,Unknown,SYBR,12.3378682992787,0.9090118366054151,3.4718556066817,Amp,false,3,6,NA,NA,7.73451593881272,9044086104.9601,4
E9,C5,Rep1,Plate1,D05_ZR_R1,D05,ZR,R1,1-3-11,D05_ZR_R1_Rep1,E9 Well,false,Sample,16S,Unknown,SYBR,17.0413674993752,0.8584398364607894,NA,Amp,false,3,8,NA,NA,6.12922610942826,224426873.35207,6
F1,C1,Rep3,Plate1,D05_NF_R1,D05,NF,R1,1-4-19,D05_NF_R1_Rep3,F1 Well,false,Sample,16S,Unknown,SYBR,12.5574722243525,0.8942216435208978,3.47864162046542,Amp,false,3,6,NA,NA,7.65956579373635,7610523710.81242,1
F11,C6,Rep3,Plate1,D08_OF_R1,D08,OF,R1,1-4-12,D08_OF_R1_Rep3,F11 Well,false,Sample,16S,Unknown,SYBR,13.0363917431415,0.9243838711603203,3.50184031974898,Amp,false,3,6,NA,NA,7.49611203305752,5223490181.10264,2
F15,C8,Rep3,Plate1,D09_OF_R1,D09,OF,R1,1-1-13,D09_OF_R1_Rep3,F15 Well,false,Sample,16S,Unknown,SYBR,12.2074803235501,0.8903456159155119,3.49419264677311,Amp,false,3,6,NA,NA,7.77901695441976,10019953452.6575,2
F17,C9,Rep3,Plate1,water_2,water,2,NA,NA,water_2_Rep3,F17 Well,false,Sample,16S,Unknown,SYBR,27.7107263652538,0.8849371122585648,3.48470393705191,Amp,false,3,17,NA,NA,2.48780670127857,51245.4664906444,7
F21,C11,Rep3,Plate1,D01_ZF_R1,D01,ZF,R1,1-4-16,D01_ZF_R1_Rep3,F21 Well,false,Sample,16S,Unknown,SYBR,12.8753606932179,0.9225953536695634,3.49601007625538,Amp,false,3,6,NA,NA,7.55107143576181,5928163668.00932,5
F23,C12,Rep3,Plate1,D01_OH_R1,D01,OH,R1,1-3-16,D01_OH_R1_Rep3,F23 Well,false,Sample,16S,Unknown,SYBR,11.9350298837346,0.9408226252907749,3.49970108661555,Amp,false,3,6,NA,NA,7.87200345265031,12412298242.7408,4
F3,C2,Rep3,Plate1,D05_OF_R1,D05,OF,R1,1-1-10,D05_OF_R1_Rep3,F3 Well,false,Sample,16S,Unknown,SYBR,12.1933282928547,0.9002071734532345,3.4739877950348,Amp,false,3,6,NA,NA,7.78384699902568,10132013240.2146,2
F7,C4,Rep3,Plate1,D05_OH_R1,D05,OH,R1,1-3-4,D05_OH_R1_Rep3,F7 Well,false,Sample,16S,Unknown,SYBR,12.4163646125333,0.9064172109367158,3.47683717308651,Amp,false,3,6,NA,NA,7.7077253882139,8503038350.29225,4
F9,C5,Rep3,Plate1,D05_ZR_R1,D05,ZR,R1,1-3-11,D05_ZR_R1_Rep3,F9 Well,false,Sample,16S,Unknown,SYBR,17.1727663995527,0.8341480893338566,NA,Amp,false,3,9,NA,NA,6.08438006841204,202408533.366343,6
G1,D1,Rep1,Plate1,water_1,water,1,NA,NA,water_1_Rep1,G1 Well,false,Sample,16S,Unknown,SYBR,27.3984211313077,0.8863017130737566,3.47224503741696,Amp,false,3,14,NA,NA,2.59439551832503,65500.4476256807,7
G10,D5,Rep2,Plate1,D09_ZF_R1,D09,ZF,R1,1-4-11,D09_ZF_R1_Rep2,G10 Well,false,Sample,16S,Unknown,SYBR,19.0887780289083,0.842935998988478,3.47686997860707,Amp,false,3,10,NA,NA,5.43045118467293,44905541.1411403,5
G11,D6,Rep1,Plate1,buffer_2,buffer,2,NA,NA,buffer_2_Rep1,G11 Well,false,Sample,16S,Unknown,SYBR,20.1268500609733,0.9502848032725327,3.41594184277626,Amp,false,3,11,NA,NA,5.07616038874632,19861367.0892364,7
G12,D6,Rep2,Plate1,buffer_2,buffer,2,NA,NA,buffer_2_Rep2,G12 Well,false,Sample,16S,Unknown,SYBR,26.8460107581393,0.8427305949187035,3.46665521054816,Amp,false,3,15,NA,NA,2.78293148186374,101106.768842142,7
