Well,Well96,PCR_Replicate,Plate,SampleName,SampleCode,SampleNameFull,label,Omit,Sample,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues
C8,B4,Rep2,Plate1,D10_ZH_R1,1-2-8,D10_ZH_R1_Rep2,C8 Well,false,Sample,16S,Unknown,SYBR,18.09692816779483,0.8918344673829857,3.39981291600829,Amp,false,3,9,NA,NA
C9,B5,Rep1,Plate1,D07_NF_R1,1-2-5,D07_NF_R1_Rep1,C9 Well,false,Sample,16S,Unknown,SYBR,12.624782741957414,0.9066513604251878,3.46045331010436,Amp,false,3,7,NA,NA
D1,B1,Rep3,Plate1,D01_NF_R1,1-4-13,D01_NF_R1_Rep3,D1 Well,false,Sample,16S,Unknown,SYBR,11.937326043794688,0.9012829427035807,3.41797700819621,Amp,false,3,6,NA,NA
D10,B5,Rep4,Plate1,D07_NF_R1,1-2-5,D07_NF_R1_Rep4,D10 Well,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,NA,N/A,false,0,0,NA,NA
D11,B6,Rep3,Plate1,D06_ZH_R1,1-2-17,D06_ZH_R1_Rep3,D11 Well,false,Sample,16S,Unknown,SYBR,17.407231173906254,0.7706772977169488,NA,Amp,false,3,8,NA,NA
D12,B6,Rep4,Plate1,D06_ZH_R1,1-2-17,D06_ZH_R1_Rep4,D12 Well,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,NA,N/A,false,0,0,NA,NA
D13,B7,Rep3,Plate1,D08_ZF_R1,1-3-19,D08_ZF_R1_Rep3,D13 Well,false,Sample,16S,Unknown,SYBR,14.42287420891223,0.8368991415760341,NA,Inconclusive,false,3,7,NA,NA
D14,B7,Rep4,Plate1,D08_ZF_R1,1-3-19,D08_ZF_R1_Rep4,D14 Well,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,NA,N/A,false,0,0,NA,NA
D15,B8,Rep3,Plate1,D01_ZH_R1,1-1-9,D01_ZH_R1_Rep3,D15 Well,false,Sample,16S,Unknown,SYBR,Undetermined,0,NA,Inconclusive,false,3,39,NA,NA
D16,B8,Rep4,Plate1,D01_ZH_R1,1-1-9,D01_ZH_R1_Rep4,D16 Well,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,NA,N/A,false,0,0,NA,NA
D17,B9,Rep3,Plate1,D10_NF_R1,1-1-4,D10_NF_R1_Rep3,D17 Well,false,Sample,16S,Unknown,SYBR,12.01755563655049,0.9424708841222346,3.47243101029005,Amp,false,3,6,NA,NA
D18,B9,Rep4,Plate1,D10_NF_R1,1-1-4,D10_NF_R1_Rep4,D18 Well,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,NA,N/A,false,0,0,NA,NA
D19,B10,Rep3,Plate1,D09_OR_R1,1-2-11,D09_OR_R1_Rep3,D19 Well,false,Sample,16S,Unknown,SYBR,12.07807430689013,0.9048014801813213,3.5034026506076,Amp,false,3,6,NA,NA
D2,B1,Rep4,Plate1,D01_NF_R1,1-4-13,D01_NF_R1_Rep4,D2 Well,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,NA,N/A,false,0,0,NA,NA
D20,B10,Rep4,Plate1,D09_OR_R1,1-2-11,D09_OR_R1_Rep4,D20 Well,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,NA,N/A,false,0,0,NA,NA
D21,B11,Rep3,Plate1,standardF_1,000,NA,standardF_1,000_Rep3,D21 Well,false,Sample,16S,Unknown,SYBR,9.089566689977278,0.9928205224198711,3.5082280583782,Amp,false,3,4,NA,NA
D22,B11,Rep4,Plate1,standardF_1,000,NA,standardF_1,000_Rep4,D22 Well,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,NA,N/A,false,0,0,NA,NA
D23,B12,Rep3,Plate1,D01_OF_R1,1-1-3,D01_OF_R1_Rep3,D23 Well,false,Sample,16S,Unknown,SYBR,11.419210499187042,0.9130006637066618,3.50235676184846,Amp,false,3,6,NA,NA
