Ascomycota	Basidiomycota	Proteobacteria	Verrucomicrobia	Lentisphaerae	Firmicutes	Actinobacteria (201174)	Bacteroidetes
D05-ZH-R3	-2.6735	-5.0914	1.4583	0.5088	-8.7922	5.7828	2.7944	6.0129
D06-ZR-R1	-2.6478	-4.7417	-0.3351	-3.8161	-8.7655	7.7298	5.6824	6.8941
D09-ZF-R3	-3.4116	-5.9145	3.3417	-6.467	-2.1585	6.2003	2.6354	5.7743
D06-OR-R3	-2.8072	-4.9029	0.0057	-4.335	-8.1099	7.833	4.961	7.3554
D06-NF-R1	-2.6169	-4.4931	-0.4032	-3.8644	-8.9351	8.1272	5.4655	6.7201
D02-OH-R3	-2.582	-4.5902	1.6123	-3.5349	-8.1905	7.6558	1.8589	7.7705
D01-ZH-R1	-3.1123	-5.244	1.3914	0.61	-9.0476	7.166	1.7871	6.4494
PCO-B3-R3	3.2681	4.7006	8.1673	-7.9683	-11.8047	8.6631	-2.4906	-2.5355
D01-OH-R1	-2.9807	-5.1205	1.9283	-0.4399	-9.0085	7.414	0.9818	7.2255
D07-ZF-R1	-3.5957	-5.9187	3.0014	-5.7894	-1.3757	6.6621	1.2986	5.7174
D05-ZR-R2	-2.8514	-5.3394	1.3032	0.4997	-8.6992	5.8642	3.5145	5.7085
D03-ZF-R3	-2.9017	-4.8125	0.4823	-2.0956	-8.5006	7.2532	3.7659	6.809
D03-ZF-R1	-3.0629	-4.8669	0.6337	-1.2902	-8.8307	6.9615	3.6157	6.8398
D04-OF-R3	-3.0181	-4.9829	-1.1211	-2.6893	-0.9	5.7966	3.2677	3.6471
D04-OR-R1	-2.7518	-4.937	-0.9408	-2.8168	-1.1894	6.0199	3.2341	3.3819
D05-OR-R1	-2.9095	-5.3565	1.7622	0.6758	-9.2926	5.8131	2.8676	6.44
D02-OR-R3	-2.2881	-4.4135	1.224	-4.0192	-8.0283	7.6707	2.5997	7.2546
PCO-B3-R1	2.3899	-0.6023	9.9247	-6.3745	-9.34	8.4235	-0.6565	-3.7648
D06-ZH-R2	-2.7029	-4.7237	0.2627	-4.5758	-8.5676	7.5746	5.139	7.5936
D04-ZR-R2	-2.9311	-5.1073	-1.0274	-1.9234	-0.9578	5.673	2.5073	3.7668
D03-OF-R3	-2.7231	-4.6888	0.8019	-2.5514	-9.0145	7.1785	3.735	7.2624
