Well,Well96,PCR_Replicate,Plate,SampleName,SampleCode,SampleNameFull,Omit,Sample,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues
D11,B6,Rep3,Plate3,D01_OH_R3,3-2-3,D01_OH_R3_Rep3,false,Sample,16S,Unknown,SYBR,11.870253348264423,0.715630234534646,3.46412465218017,Amp,false,3,6,NA,NA
D12,B6,Rep4,Plate3,D01_OH_R3,3-2-3,D01_OH_R3_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,2.33028838056646,No Amp,false,3,13,NA,NA
D13,B7,Rep3,Plate3,D03_OR_R3,3-1-6,D03_OR_R3_Rep3,false,Sample,16S,Unknown,SYBR,12.798038484412356,0.919921386073428,3.46530611664217,Amp,false,3,7,NA,NA
D14,B7,Rep4,Plate3,D03_OR_R3,3-1-6,D03_OR_R3_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,2.39730141772827,No Amp,false,3,10,NA,NA
D15,B8,Rep3,Plate3,D09_OH_R3,3-2-20,D09_OH_R3_Rep3,false,Sample,16S,Unknown,SYBR,9.420340433113548,0.716374664545835,3.48622379046329,Amp,false,3,5,NA,NA
D16,B8,Rep4,Plate3,D09_OH_R3,3-2-20,D09_OH_R3_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,2.34211611979547,No Amp,false,3,10,NA,NA
D17,B9,Rep3,Plate3,standardB_10,000,000,NA,standardB_10,000,000_Rep3,false,Sample,16S,Unknown,SYBR,21.656021289942103,0.924368924320464,3.46462367275231,Amp,false,3,12,NA,NA
D18,B9,Rep4,Plate3,standardB_10,000,000,NA,standardB_10,000,000_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,2.26809529418666,No Amp,false,3,25,NA,NA
D19,B10,Rep3,Plate3,standardF_10,000,000,NA,standardF_10,000,000_Rep3,false,Sample,16S,Unknown,SYBR,20.436466856463063,0.913166811315018,3.46225163885506,Amp,false,3,11,NA,NA
D2,B1,Rep4,Plate3,standardB_100,000,NA,standardB_100,000_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,2.21363652402842,No Amp,false,3,39,NA,NA
D20,B10,Rep4,Plate3,standardF_10,000,000,NA,standardF_10,000,000_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,2.27018096807576,No Amp,false,3,21,NA,NA
D21,B11,Rep3,Plate3,buffer_2,NA,buffer_2_Rep3,false,Sample,16S,Unknown,SYBR,23.94792552751489,0.927010747502722,3.45541490960404,Amp,false,3,13,NA,NA
D22,B11,Rep4,Plate3,buffer_2,NA,buffer_2_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,2.32898093974545,No Amp,false,3,26,NA,NA
D23,B12,Rep3,Plate3,D09_NF_R3,3-4-17,D09_NF_R3_Rep3,false,Sample,16S,Unknown,SYBR,11.19794013837111,0.915760712847078,3.48540693181207,Amp,false,3,6,NA,NA
D24,B12,Rep4,Plate3,D09_NF_R3,3-4-17,D09_NF_R3_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,2.22522535599657,No Amp,false,3,10,NA,NA
D3,B2,Rep3,Plate3,D06_OF_R3,3-4-3,D06_OF_R3_Rep3,false,Sample,16S,Unknown,SYBR,9.362497357115888,0.940658281762019,3.51053617735361,Amp,false,3,5,NA,NA
D4,B2,Rep4,Plate3,D06_OF_R3,3-4-3,D06_OF_R3_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,2.18722122275561,No Amp,false,3,12,NA,NA
D5,B3,Rep3,Plate3,D05_ZR_R3,3-1-3,D05_ZR_R3_Rep3,false,Sample,16S,Unknown,SYBR,15.955502192851675,0.911086079356169,NA,Amp,false,3,9,NA,NA
D6,B3,Rep4,Plate3,D05_ZR_R3,3-1-3,D05_ZR_R3_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,2.31687179495633,No Amp,false,3,39,NA,NA
D7,B4,Rep3,Plate3,standardF_10,NA,standardF_10_Rep3,false,Sample,16S,Unknown,SYBR,Undetermined,0,NA,Inconclusive,false,3,39,NA,NA
D8,B4,Rep4,Plate3,standardF_10,NA,standardF_10_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,2.16655920310901,No Amp,false,3,39,NA,NA
D9,B5,Rep3,Plate3,standardB_1,000,NA,standardB_1,000_Rep3,false,Sample,16S,Unknown,SYBR,9.31028995006334,0.99530283447492,3.47750377834267,Amp,false,3,5,NA,NA
E1,C1,Rep1,Plate3,D03_ZH_R3,3-3-14,D03_ZH_R3_Rep1,false,Sample,16S,Unknown,SYBR,14.638370188559698,0.947206541640381,3.44106871394005,Amp,false,3,8,NA,NA
E10,C5,Rep2,Plate3,standardF_10,000,NA,standardF_10,000_Rep2,false,Sample,16S,Unknown,SYBR,11.476286121235315,0.991541550670114,3.46550289815712,Amp,false,3,6,NA,NA
E11,C6,Rep1,Plate3,D03_ZR_R3,3-3-9,D03_ZR_R3_Rep1,false,Sample,16S,Unknown,SYBR,17.332716968260158,0.901785586061184,NA,Amp,false,3,10,NA,NA
E12,C6,Rep2,Plate3,D03_ZR_R3,3-3-9,D03_ZR_R3_Rep2,false,Sample,16S,Unknown,SYBR,17.911212949688498,0.922334910036215,NA,Amp,false,3,11,NA,NA
E13,C7,Rep1,Plate3,D08_ZF_R3,3-1-11,D08_ZF_R3_Rep1,false,Sample,16S,Unknown,SYBR,14.333333797491555,0.903365136694514,3.4569723385653,Amp,false,3,9,NA,NA
E14,C7,Rep2,Plate3,D08_ZF_R3,3-1-11,D08_ZF_R3_Rep2,false,Sample,16S,Unknown,SYBR,14.303761690411296,0.902233362397383,3.45823040912233,Amp,false,3,8,NA,NA
E15,C8,Rep1,Plate3,D05_OR_R3,3-3-15,D05_OR_R3_Rep1,false,Sample,16S,Unknown,SYBR,11.296952103231494,0.914517293939237,3.46283220009807,Amp,false,3,6,NA,NA
E16,C8,Rep2,Plate3,D05_OR_R3,3-3-15,D05_OR_R3_Rep2,false,Sample,16S,Unknown,SYBR,11.389082911658498,0.915152864883739,3.45972245812601,Amp,false,3,6,NA,NA
E17,C9,Rep1,Plate3,D04_ZR_R3,3-4-8,D04_ZR_R3_Rep1,false,Sample,16S,Unknown,SYBR,13.171225414836385,0.888245094040913,3.48325567977252,Amp,false,3,7,NA,NA
E18,C9,Rep2,Plate3,D04_ZR_R3,3-4-8,D04_ZR_R3_Rep2,false,Sample,16S,Unknown,SYBR,13.231303245787512,0.881437811399384,3.48698291679994,Inconclusive,false,3,7,NA,NA
E19,C10,Rep1,Plate3,D08_NF_R3,3-3-3,D08_NF_R3_Rep1,false,Sample,16S,Unknown,SYBR,9.264165073277127,0.946119562590476,3.49656894890605,Amp,false,3,5,NA,NA
E2,C1,Rep2,Plate3,D03_ZH_R3,3-3-14,D03_ZH_R3_Rep2,false,Sample,16S,Unknown,SYBR,14.189949254089893,0.93137481408223,3.50878130268905,Amp,false,3,8,NA,NA
E20,C10,Rep2,Plate3,D08_NF_R3,3-3-3,D08_NF_R3_Rep2,false,Sample,16S,Unknown,SYBR,8.852942328334297,0.947183614064668,3.48296506054599,Amp,false,3,5,NA,NA
E21,C11,Rep1,Plate3,NCO_B1_R3,3-1-12,NCO_B1_R3_Rep1,false,Sample,16S,Unknown,SYBR,25.490691519441434,0.922294164648359,3.48913488209389,Amp,false,3,18,NA,NA
E22,C11,Rep2,Plate3,NCO_B1_R3,3-1-12,NCO_B1_R3_Rep2,false,Sample,16S,Unknown,SYBR,25.933447812954924,0.949394149432204,3.45380659815068,Amp,false,3,18,NA,NA
E23,C12,Rep1,Plate3,D04_NF_R3,3-3-7,D04_NF_R3_Rep1,false,Sample,16S,Unknown,SYBR,7.532424819709785,0.91724829898977,3.47906772258997,Amp,false,3,4,NA,NA
E24,C12,Rep2,Plate3,D04_NF_R3,3-3-7,D04_NF_R3_Rep2,false,Sample,16S,Unknown,SYBR,7.866733973997258,0.923887773354693,3.44887843273895,Amp,false,3,4,NA,NA
E3,C2,Rep1,Plate3,D06_OH_R3,3-3-17,D06_OH_R3_Rep1,false,Sample,16S,Unknown,SYBR,12.27576221243972,0.934103405613798,3.5252984149535,Amp,false,3,7,NA,NA
E4,C2,Rep2,Plate3,D06_OH_R3,3-3-17,D06_OH_R3_Rep2,false,Sample,16S,Unknown,SYBR,12.544186120475938,0.947626926854394,3.47173939302445,Amp,false,3,7,NA,NA
E5,C3,Rep1,Plate3,D02_ZR_R3,3-2-6,D02_ZR_R3_Rep1,false,Sample,16S,Unknown,SYBR,16.43036490330671,0.90694553689404,NA,Amp,false,3,9,NA,NA
E6,C3,Rep2,Plate3,D02_ZR_R3,3-2-6,D02_ZR_R3_Rep2,false,Sample,16S,Unknown,SYBR,16.737447111100742,0.914548996611284,NA,Amp,false,3,11,NA,NA
E7,C4,Rep1,Plate3,D05_ZF_R3,3-2-10,D05_ZF_R3_Rep1,false,Sample,16S,Unknown,SYBR,17.47039014169323,0.867814651564251,NA,Amp,false,3,9,NA,NA
E8,C4,Rep2,Plate3,D05_ZF_R3,3-2-10,D05_ZF_R3_Rep2,false,Sample,16S,Unknown,SYBR,17.45402346042696,0.893967014638798,NA,Amp,false,3,10,NA,NA
E9,C5,Rep1,Plate3,standardF_10,000,NA,standardF_10,000_Rep1,false,Sample,16S,Unknown,SYBR,11.212428063688186,0.989213166074243,3.48273352152333,Amp,false,3,6,NA,NA
F1,C1,Rep3,Plate3,D03_ZH_R3,3-3-14,D03_ZH_R3_Rep3,false,Sample,16S,Unknown,SYBR,14.36608636779938,0.922396634759755,3.47733976375978,Amp,false,3,8,NA,NA
