DNAExtractionGroup	DNAExtractionBatch	DNAExtractionDate	RNAeasyLot	RNAeasyKit	ExtractedBy	SampleID	TubePosition	RNAConcentration
3	1	2-Sep-21	169017766	Kit 4	Mai	D01_ZR_R3	6	4.8
3	1	2-Sep-21	169017766	Kit 4	Mai	PCO_B1_R3	7	low
3	1	2-Sep-21	169017766	Kit 4	Mai	D07_OR_R3	8	12.6
3	1	2-Sep-21	169017766	Kit 4	Mai	D04_ZF_R3	9	11.9
3	1	2-Sep-21	169017766	Kit 4	Mai	D08_ZF_R3	10	4.6
3	1	2-Sep-21	169017766	Kit 4	Mai	NCO_B1_R3	11	low
3	1	2-Sep-21	169017766	Kit 4	Mai	D10_NF_R3	12	19.6
3	1	2-Sep-21	169017766	Kit 4	Mai	D07_OF_R3	13	56.4
3	1	2-Sep-21	169017766	Kit 4	Mai	D06_NF_R3	14	296
3	1	2-Sep-21	169017766	Kit 4	Mai	D05_ZH_R3	15	22.2
3	1	2-Sep-21	169017766	Kit 4	Mai	D02_NF_R3	16	260
3	1	2-Sep-21	169017766	Kit 4	Mai	D09_ZH_R3	17	4.6
3	2	2-Sep-21	169017766	Kit 4	Dylan	D02_ZH_R3	1	34.8
3	2	2-Sep-21	169017766	Kit 4	Dylan	D08_OF_R3	2	7.94
3	2	2-Sep-21	169017766	Kit 4	Dylan	D10_ZR_R3	3	4.4
3	2	2-Sep-21	169017766	Kit 4	Dylan	D06_ZR_R3	4	4.4
3	2	2-Sep-21	169017766	Kit 4	Dylan	D02_ZR_R3	5	4.8
3	2	2-Sep-21	169017766	Kit 4	Dylan	D04_OF_R3	6	8.6
3	2	2-Sep-21	169017766	Kit 4	Dylan	D04_OR_R3	7	5.42
3	2	2-Sep-21	169017766	Kit 4	Dylan	NCO_B2_R3	8	low
3	2	2-Sep-21	169017766	Kit 4	Dylan	D05_ZF_R3	9	7.28
3	2	2-Sep-21	169017766	Kit 4	Dylan	D06_ZH_R3	10	51.6
3	2	2-Sep-21	169017766	Kit 4	Dylan	D07_NF_R3	11	194
3	2	2-Sep-21	169017766	Kit 4	Dylan	D03_NF_R3	12	264
3	2	2-Sep-21	169017766	Kit 4	Dylan	D08_OR_R3	13	41.8
3	2	2-Sep-21	169017766	Kit 4	Dylan	D10_ZH_R3	14	24
3	2	2-Sep-21	169017766	Kit 4	Dylan	D01_ZF_R3	15	6.36
3	2	2-Sep-21	169017766	Kit 4	Dylan	PCO_B2_R3	16	low
3	2	2-Sep-21	169017766	Kit 4	Dylan	D09_ZF_R3	17	6.78
3	3	8-Sep-21	169017766	Kit 4	Mai	D10_ZF_R3	1	4.6
3	3	8-Sep-21	169017766	Kit 4	Mai	D02_ZF_R3	2	52.4
3	3	8-Sep-21	169017766	Kit 4	Mai	D08_NF_R3	3	280
3	3	8-Sep-21	169017766	Kit 4	Mai	D06_ZF_R3	4	34.8
3	3	8-Sep-21	169017766	Kit 4	Mai	D07_ZH_R3	5	45
3	3	8-Sep-21	169017766	Kit 4	Mai	D05_OF_R3	6	21.4
3	3	8-Sep-21	169017766	Kit 4	Mai	D04_NF_R3	7	130
3	3	8-Sep-21	169017766	Kit 4	Mai	D03_ZR_R3	8	8.86
3	3	8-Sep-21	169017766	Kit 4	Mai	NCO_B3_R3	9	low
3	3	8-Sep-21	169017766	Kit 4	Mai	D09_OR_R3	10	8.48
3	3	8-Sep-21	169017766	Kit 4	Mai	PCO_B3_R3	11	low
3	3	8-Sep-21	169017766	Kit 4	Mai	D03_ZH_R3	12	22.8
3	3	8-Sep-21	169017766	Kit 4	Mai	D05_OR_R3	13	low
3	3	8-Sep-21	169017766	Kit 4	Mai	D09_OF_R3	14	16.7
3	3	8-Sep-21	169017766	Kit 4	Mai	D07_ZR_R3	15	4.6
3	3	8-Sep-21	169017766	Kit 4	Mai	D01_OR_R3	16	12.9
3	3	8-Sep-21	169017766	Kit 4	Mai	D01_OF_R3	17	102
3	4	8-Sep-21	169030986	Kit 5	Mai	D10_OR_R3	1	low
3	4	8-Sep-21	169030986	Kit 5	Mai	D08_ZR_R3	2	6.1
3	4	8-Sep-21	169030986	Kit 5	Mai	D06_OF_R3	3	9.06
3	4	8-Sep-21	169030986	Kit 5	Mai	D02_OR_R3	4	low
3	4	8-Sep-21	169030986	Kit 5	Mai	D10_OF_R3	5	9.66
3	4	8-Sep-21	169030986	Kit 5	Mai	D08_ZH_R3	6	25.4
3	4	8-Sep-21	169030986	Kit 5	Mai	D02_OF_R3	7	9.54
3	4	8-Sep-21	169030986	Kit 5	Mai	D04_ZR_R3	8	5.98
3	4	8-Sep-21	169030986	Kit 5	Mai	NCO_B4_R3	9	low
3	4	8-Sep-21	169030986	Kit 5	Mai	PCO_B4_R3	10	low
3	4	8-Sep-21	169030986	Kit 5	Mai	D05_NF_R3	11	40.2
3	4	8-Sep-21	169030986	Kit 5	Mai	D01_NF_R3	12	26.2
3	4	8-Sep-21	169030986	Kit 5	Mai	D06_OR_R3	13	5.2
3	4	8-Sep-21	169030986	Kit 5	Mai	D07_ZF_R3	14	4
3	4	8-Sep-21	169030986	Kit 5	Mai	D09_NF_R3	15	43
3	4	8-Sep-21	169030986	Kit 5	Mai	D03_ZF_R3	16	9.58
3	4	8-Sep-21	169030986	Kit 5	Mai	D04_ZH_R3	17	9.26
