feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
crAss.like.viruses	Kit	Omnigene	-0.0424128848810919	0.0148418592202194	210	189	0.00472883059209554	0.0136610661549427
Prevotellaceae..environmental.samples	Kit	Omnigene	0.0371867168108422	0.0130068823036737	210	209	0.00470956722175546	0.0136610661549427
Turicibacter	Temperature	Hot	-0.0112506711869004	0.00393662161785949	210	174	0.0047245753612958	0.0136610661549427
Enterobacter	Temperature	Hot	0.00207431411510465	0.000727433155704818	210	209	0.0048167741240111	0.013845199994645
Mediterranea	Kit	Omnigene	0.00167402117623586	0.000587960532175452	210	206	0.00488093814994066	0.0139594831088303
Pseudoflavonifractor	Kit	Zymo	-0.00696378474991838	0.00245537756225285	210	209	0.00504571749054788	0.014358957236783
unclassified.Erysipelotrichaceae	Temperature	Hot	-0.0717923624112915	0.0253673706468002	210	209	0.00513792089651408	0.0145489641228023
Escherichia	Temperature	Hot	0.0267854764865751	0.00950255369210907	210	209	0.00531550898053672	0.0149776903293941
Parolsenella	Kit	Omnigene	-0.0185111324504623	0.00660658770172958	210	84	0.00558963520030648	0.0156728986988986
Lactobacillus	Temperature	Hot	-0.0142012279348107	0.00508905881064363	210	209	0.00578201353561068	0.0161332280115576
Lachnoclostridium	Kit	Zymo	-0.0608003082962189	0.0218817180189968	210	209	0.00599053220706201	0.0166339049632984
Anaerotruncus	Temperature	Room Temp	0.00384139872992244	0.0013846190801302	210	209	0.00606636818982225	0.0167631043699436
Phascolarctobacterium	Temperature	Room Temp	0.0637927760104548	0.0231000920540401	210	207	0.00629904919721252	0.0173223852923344
Erysipelatoclostridium	Kit	Omnigene	-0.0228738602648875	0.00834340280089865	210	209	0.0066808220549169	0.0182843550976673
unclassified.Bacteroidaceae	Kit	Zymo	0.138851900177775	0.0507142686036855	210	209	0.00675210803948794	0.0183914561837481
Agathobaculum	Kit	Omnigene	-0.00234719879054328	0.000858471992262918	210	209	0.00682691725496664	0.0185070932219949
unclassified.Coriobacteriia	Kit	Omnigene	-0.00887099910023484	0.00326015772851947	210	209	0.00709347874201902	0.0191390086812966
Prevotella	Kit	Omnigene	1.91039559053225	0.703089685081093	210	209	0.00717427506163106	0.019266128334521
