sample	tax.level	method	value
XT_D02-NFlex-R1-C	order	simpson	0.532
XT_D01-NFlex-R1-C	order	simpson	0.498
XT_D07-NFlex-R1-A	order	simpson	0.483
XT_D03-NFlex-R1-A	order	simpson	0.629
XT_D01-NFlex-R1-B	order	simpson	0.498
Flex_D10-NF-R1	order	simpson	0.608
Flex_D07-NF-R1	order	simpson	0.488
Flex_D08-NF-R1	order	simpson	0.55
Flex_D05-NF-R1	order	simpson	0.635
Flex_D02-NF-R1	order	simpson	0.54
Flex_D03-NF-R1	order	simpson	0.596
Flex_D09-NF-R1	order	simpson	0.581
Flex_D01-NF-R1	order	simpson	0.482
Flex_D06-NF-R1	order	simpson	0.541
Flex_D04-NF-R1	order	simpson	0.447
XT_D04-NFlex-R1-A	family	shannon	2.054
XT_D06-NFlex-R1-A	family	shannon	1.794
XT_D08-NFlex-R1-C	family	shannon	1.828
XT_D07-NFlex-R1-C	family	shannon	1.958
XT_D10-NFlex-R1-C	family	shannon	1.851
XT_D05-NFlex-R1-C	family	shannon	2.242
XT_D05-NFlex-R1-A	family	shannon	2.25
XT_D05-NFlex-R1-B	family	shannon	2.245
XT_D08-NFlex-R1-B	family	shannon	1.828
XT_D02-NFlex-R1-B	family	shannon	1.736
XT_D07-NFlex-R1-B	family	shannon	1.957
XT_D09-NFlex-R1-B	family	shannon	2.208
XT_D03-NFlex-R1-C	family	shannon	2.295
XT_D01-NFlex-R1-A	family	shannon	2.054
XT_D04-NFlex-R1-C	family	shannon	2.051
XT_D10-NFlex-R1-A	family	shannon	1.849
XT_D06-NFlex-R1-B	family	shannon	1.804
XT_D03-NFlex-R1-B	family	shannon	2.295
XT_D10-NFlex-R1-B	family	shannon	1.851
XT_D09-NFlex-R1-C	family	shannon	2.207
XT_D02-NFlex-R1-A	family	shannon	1.733
XT_D09-NFlex-R1-A	family	shannon	2.201
XT_D04-NFlex-R1-B	family	shannon	2.064
XT_D08-NFlex-R1-A	family	shannon	1.826
XT_D06-NFlex-R1-C	family	shannon	1.798
XT_D02-NFlex-R1-C	family	shannon	1.736
XT_D01-NFlex-R1-C	family	shannon	2.061
XT_D07-NFlex-R1-A	family	shannon	1.95
XT_D03-NFlex-R1-A	family	shannon	2.298
XT_D01-NFlex-R1-B	family	shannon	2.059
Flex_D10-NF-R1	family	shannon	1.9
Flex_D07-NF-R1	family	shannon	1.987
Flex_D08-NF-R1	family	shannon	1.909
Flex_D05-NF-R1	family	shannon	2.292
Flex_D02-NF-R1	family	shannon	1.821
Flex_D03-NF-R1	family	shannon	2.254
Flex_D09-NF-R1	family	shannon	2.241
Flex_D01-NF-R1	family	shannon	2.059
