Bromoviridae	Virgaviridae	Saccharomycetaceae	Malasseziaceae	Moraxellaceae	Pseudomonadaceae	Enterobacteriaceae	Rhodospirillaceae	Comamonadaceae	Sutterellaceae	Desulfovibrionaceae	Akkermansiaceae	Staphylococcaceae	Streptococcaceae	Lactobacillaceae	Leuconostocaceae	Clostridiaceae	Lachnospiraceae	Eubacteriaceae	Oscillospiraceae	Ruminococcaceae	Candidatus Borkfalkiaceae	Erysipelotrichaceae	Selenomonadaceae	Acidaminococcaceae	Veillonellaceae	Bifidobacteriaceae	Micrococcaceae	Corynebacteriaceae	Propionibacteriaceae	Coriobacteriaceae	Atopobiaceae	Eggerthellaceae	Bacteroidaceae	Rikenellaceae	Prevotellaceae	Odoribacteraceae	Barnesiellaceae	Tannerellaceae
D03-OR-R2	-10.0774	-1.4923	-3.1539	2.0227	0.497	0.2183	1.8251	-4.2637	0.5605	1.2096	-0.6828	-1.4727	1.1982	0.496	-3.2588	-0.7488	4.4697	4.7031	0.8743	2.8026	5.3464	-10.2501	-0.4482	0.0272	-3.2362	0.2467	2.5525	-1.1545	0.1159	3.0625	4.4326	-4.8875	-0.5949	3.5183	4.3298	5.9692	-4.6452	-0.8143	0.703
D03-OR-R3	-11.8927	-5.7547	-2.6385	2.1888	0.0692	1.1303	1.5149	-3.7781	-0.2153	1.5884	0.1012	-0.1065	1.1682	0.7648	-3.7313	-1.9613	4.3793	4.6245	0.4296	2.9965	5.8438	-10.7995	-0.0362	0.363	-3.2433	-0.1052	3.6853	-1.3599	0.1354	2.3509	5.6887	-4.1553	-0.498	4.1165	4.9716	6.7119	-5.0354	-0.7734	1.2617
D03-ZF-R1	-14.9407	-8.5093	-4.944	-4.3368	0.2744	-1.1931	0.0178	-3.413	-1.7726	2.5061	-0.3291	-1.4108	-2.6298	1.181	-2.5698	-5.2283	6.269	5.8718	3.4864	4.8806	7.6611	-6.6623	1.6155	3.2369	0.8747	3.2056	2.0527	-2.9047	-4.0585	-1.8813	4.0604	-1.8814	0.69	6.1585	5.5255	7.6257	-3.33	1.7341	3.0678
D03-ZF-R2	-10.6533	-5.2922	-6.1078	-1.844	1.4399	-2.0572	1.3574	-4.5373	-1.977	2.9797	-1.7846	-2.9984	-0.7034	0.7758	-3.4428	-5.3129	4.9241	5.3255	3.9207	3.3708	7.5114	-7.4086	1.4496	4.6878	-0.5349	3.2138	2.4304	-3.7003	-3.2192	-0.7013	4.4026	-3.2238	-0.3456	5.8912	4.5654	7.8547	-3.6085	0.933	2.4193
D03-ZF-R3	-13.8391	-7.7821	-4.9308	-3.4519	1.078	-1.549	0.1693	-3.7197	-1.8026	3.2497	-1.3163	-2.5986	0.0668	0.8584	-2.9813	-7.0069	5.2802	5.6308	4.4775	3.9744	7.8033	-6.9106	1.6709	4.4568	0.3993	4.0123	2.5527	-3.2894	-4.0366	-2.6966	4.3123	-2.9228	-0.0773	6.3401	5.504	7.9775	-3.6697	1.6103	3.1564
D03-ZH-R1	-9.8229	-6.561	-4.3694	-0.7405	0.8351	-1.4201	0.4925	-5.414	-1.2541	2.3698	-0.3679	0.7099	-0.2814	-0.9441	-3.406	-0.8164	4.4618	3.7734	2.6467	3.7965	5.8022	-5.6025	0.3478	1.2154	-0.4635	-0.3868	-0.6949	-2.6845	-2.4011	1.0215	0.6102	-5.028	-2.1929	7.7321	5.9382	8.6896	-2.3586	2.4411	4.3266
D03-ZH-R2	-11.6159	-6.0486	-3.3766	0.0903	2.7992	0.4976	1.8083	-5.2103	-0.2449	2.4949	-1.6955	-2.258	-0.2444	-0.9276	-3.3771	-3.725	4.0863	4.9664	3.1437	2.9886	6.5715	-8.3639	2.274	3.8982	-1.2581	0.3401	-0.9885	-2.6557	-1.559	1.1481	0.6043	-5.4747	-3.3151	7.235	4.9821	9.8874	-2.5794	1.5621	3.5403
D03-ZH-R3	-7.7016	-0.0514	-4.533	-0.0427	1.6581	0.4085	1.7934	-1.8046	-2.0506	1.7023	-1.7621	-3.3309	0.163	-1.5726	-1.7581	-4.3383	2.9521	4.1078	2.6809	1.6158	5.4168	-7.5985	1.3323	3.4839	-2.369	-0.2429	3.8063	-3.6451	-1.9618	0.1708	0.2417	-5.3776	-2.4544	6.3469	4.471	8.8615	-1.9239	0.7037	2.6024
D03-ZR-R1	-10.4864	-5.2407	-4.3552	-3.6806	1.526	-0.8056	1.4489	-5.3227	-1.1872	4.7191	-0.3701	-2.5349	-1.2906	-1.2822	-3.0974	-4.5465	4.4518	5.3562	3.3978	3.0917	7.0369	-6.0486	2.0622	2.9328	-0.8428	1.1696	0.153	-4.1222	-3.7328	-2.0652	2.6997	-4.4047	-1.2872	7.4643	6.1557	8.792	-2.4166	2.4986	4.1637
D03-ZR-R2	-13.1406	-5.3258	-4.6985	-2.4661	1.9573	-1.9137	1.6887	-4.2115	-2.175	3.145	-0.7007	-1.2504	-0.7362	-0.0751	-2.9753	-5.2736	5.4656	4.9896	4.442	3.7885	6.8294	-6.7932	1.5671	2.8329	-0.046	1.6767	0.1855	-3.7622	-4.1617	-1.6118	3.7476	-3.3818	-0.1221	6.698	5.1706	8.2526	-2.3894	1.5008	3.2728
