metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Kit	Peptostreptococcus	Zymo	0.00016359512465846	4.81216795659006e-05	210	49	0.000816773059041444	0.00571449712679542
Kit	Firmicutes..environmental.samples	Zymo	0.18544595585328	0.0549142311828534	210	209	0.000882885889444899	0.0061102696705147
Kit	Catabacter	Zymo	0.00119217180581225	0.000352899459639808	210	209	0.000879228054682308	0.0061102696705147
Kit	Gemmiger	Zymo	0.0838933794751163	0.0249373759582762	210	209	0.000922662927986243	0.0063541023316491
Temperature	Enterococcus	Hot	-0.0193706854277571	0.0057762903059134	210	209	0.000956994264395681	0.00655822540012334
Temperature	Lactobacillus	Room Temp	-0.0158034213693204	0.00471543783633291	210	209	0.000963752130974317	0.00657231941025412
Kit	Guerin_crAss_Gamma	Zymo	0.00432134844673571	0.00129045160733998	210	42	0.000972715096255439	0.00660124128429662
Kit	Deinococcus	Zymo	0.000170315546866645	5.09819440933151e-05	210	97	0.000999636761389925	0.00675117001170587
Temperature	unclassified.Firmicutes.sensu.stricto..miscellaneous.	Hot	0.103849411685439	0.0311013599244879	210	209	0.00100523562458161	0.00675634328444755
Temperature	Flavonifractor	Room Temp	0.0331531332533433	0.00999371398552233	210	209	0.00108200139295068	0.00723750214040692
Temperature	Colletotrichum	Hot	0.000378264880136879	0.000114256677751637	210	208	0.00110697541255281	0.00736929346070873
Temperature	Fusarium	Hot	0.000544203037690881	0.000164896767282702	210	209	0.00114654391662683	0.00759653267983084
Temperature	Coprobacillus	Room Temp	-0.11867538939052	0.0361182537062414	210	209	0.00120402768572391	0.00793976747472657
Temperature	Negativicoccus	Hot	-0.000175372215011103	5.35026875215369e-05	210	28	0.00123652319158341	0.00811577193349111
Temperature	Guerin_crAss_Alpha	Room Temp	0.0234534559652915	0.00716002893848248	210	104	0.00124573623878982	0.00811907572991222
Temperature	unclassified.Flavobacteriales..miscellaneous.	Room Temp	0.000167017352695926	5.10205428241267e-05	210	206	0.00125444946899931	0.00811907572991222
Temperature	Dehalobacter	Hot	0.000177115364610189	5.41000764303841e-05	210	79	0.00125312320806811	0.00811907572991222
Temperature	Rothia	Hot	-0.000688028245362313	0.000210763999267459	210	190	0.00129321135428864	0.0083313800612697
Temperature	unclassified.Firmicutes.sensu.stricto..miscellaneous.	Room Temp	0.101440601756188	0.0311013599244879	210	209	0.00130553863444923	0.00837221564660559
Kit	Christensenella	Zymo	0.00080870417223292	0.000248348778052809	210	209	0.00132882323982315	0.00848262506517241
Temperature	Agathobaculum	Room Temp	-0.00209180622182922	0.00064404102363875	210	209	0.00136653220265428	0.00868369099686672
Temperature	Turicibacter	Hot	-0.0117330386532642	0.00362108672355217	210	174	0.00140222684646014	0.00887019516448544
Kit	Butyrivibrio	Zymo	0.0375563314755945	0.0116236598808881	210	209	0.00144564690027963	0.0091036683179771
Temperature	Gemmiger	Hot	-0.0957888126016454	0.0296814142669492	210	209	0.00146395990095785	0.00915927398434198
Temperature	Robinsoniella	Room Temp	-0.000237205591009128	7.35182111694286e-05	210	209	0.001467580380896	0.00915927398434198
Temperature	Diversispora	Hot	0.000167277686022954	5.1930592540088e-05	210	92	0.00149363973116992	0.00928048152966913
Kit	Acidovorax	Zymo	0.000183610813267381	5.70691318519127e-05	210	119	0.00151274309813663	0.00935758783714607
Temperature	Selenomonadales..environmental.samples	Hot	0.000157381663884867	4.90895727633169e-05	210	62	0.00157047144922198	0.00967189024675035
Kit	Paeniclostridium	Zymo	-0.000253857225356459	7.93509541387348e-05	210	102	0.00160630254793383	0.00984917088601534
Temperature	Serratia	Room Temp	-0.000173646980589681	5.43294434564182e-05	210	159	0.00162217608395737	0.00990306622433366
Kit	Tympanopsis	Zymo	0.000263948034399405	8.27071550973075e-05	210	209	0.0016481637759808	0.010017969386179
Temperature	Eubacterium	Room Temp	-0.235012797327814	0.0742819979293595	210	209	0.00180405072751561	0.0109082526253685
Temperature	unclassified.Streptococcaceae	Room Temp	-0.000741264153349462	0.000234373747100167	210	106	0.00181023934841594	0.0109082526253685
Temperature	Mycobacteroides	Room Temp	-0.000677957084225283	0.000214663936600732	210	192	0.00183714508447484	0.0109757642226317
Temperature	Denitrobacterium	Room Temp	-0.000205394108491719	6.50296026248353e-05	210	143	0.00183567337003219	0.0109757642226317
Kit	Intestinibacillus	Zymo	0.000197069332254342	6.26587662700657e-05	210	206	0.00191728866422205	0.0112944875029918
Temperature	Byssochlamys	Hot	0.00035991583567958	0.000114372322075838	210	36	0.00190634761919654	0.0112944875029918
Temperature	Botrytis	Room Temp	0.000120330194103209	3.8261942442007e-05	210	46	0.00191862608832704	0.0112944875029918
Temperature	Zymomonas	Hot	-0.00015198508918678	4.83376875114794e-05	210	26	0.00192280974657515	0.0112944875029918
Temperature	Anaerocolumna	Room Temp	-0.000263932502683223	8.40240565264485e-05	210	209	0.001942171388924	0.0113131483404823
Temperature	Granulicatella	Hot	-0.000176957083022947	5.63344097091687e-05	210	89	0.00194194444465108	0.0113131483404823
Temperature	unclassified.Bacteroidales..miscellaneous.	Hot	0.0114021220072678	0.00363984446328535	210	209	0.00199695886962755	0.0115150771918675
Temperature	unclassified.Peptostreptococcaceae	Hot	-0.000196953810534236	6.28868254189534e-05	210	163	0.00200154775223448	0.0115150771918675
Temperature	Oxalobacter	Hot	0.000113870683790357	3.63514372823245e-05	210	42	0.00199754361794816	0.0115150771918675
Temperature	Oxalobacter	Room Temp	0.00011372067332294	3.63514372823245e-05	210	42	0.00202444211244987	0.0115990576770693
Temperature	Pseudoflavonifractor	Room Temp	0.00557683303503055	0.00178456272880439	210	209	0.00204636665479984	0.0116768187077966
Kit	Sporomusa	Zymo	8.35267977970804e-05	2.68512118679348e-05	210	64	0.00214324625375621	0.0121799116371999
Temperature	unclassified.Peptococcaceae	Hot	0.000978403681710502	0.000318267629243257	210	209	0.00241033889286798	0.0136423229644916
Temperature	Romboutsia	Room Temp	-0.0300687734984872	0.0097857392719828	210	208	0.00242146098398661	0.0136500099016665
Temperature	Absiella	Hot	-0.001498243353646	0.000488470873470839	210	209	0.00246438449494371	0.0138361828270334
Temperature	Viruses..environmental.samples..186616.	Hot	0.000304574567134	9.94080288505057e-05	210	197	0.00249068775384513	0.013927925919502
Kit	Methylobacterium	Zymo	0.000153646748962537	5.02356608099967e-05	210	111	0.00253362022751758	0.0141115580799585
Temperature	Paraprevotella	Hot	0.0106171913164048	0.00350708338849254	210	209	0.00279685589167482	0.0155075757795743
Temperature	unclassified.Eggerthellales	Hot	-0.00914876625496736	0.00302311390683726	210	95	0.00280644969401452	0.0155075757795743
Temperature	Parabacteroides	Room Temp	0.642169097350357	0.2124850846359	210	209	0.00284290486113681	0.0156471692750759
Temperature	Gordonibacter	Hot	0.0133342319576409	0.00442479435031703	210	209	0.00292155966580516	0.0160170212266495
Temperature	Roseburia	Hot	-0.359448854558575	0.11943152046054	210	209	0.00295727345011943	0.016086647016603
Kit	Petrimonas	Zymo	-0.000157015213070177	5.2156210651833e-05	210	62	0.00294970324030444	0.016086647016603
Temperature	Parasutterella	Hot	0.00826120190728065	0.00274638759368896	210	148	0.00297256589930343	0.0161071594078535
Temperature	Myriosclerotinia	Hot	0.000112085359662415	3.73399845340257e-05	210	31	0.00303172946534975	0.0163643158013859
Kit	Clostridium	Zymo	-0.285460918838016	0.0953595235464602	210	209	0.00311097772190937	0.0167274879047281
Temperature	Gemella	Room Temp	-0.00022363791269527	7.47878128613878e-05	210	127	0.00314254299660905	0.0168324716829864
Temperature	Schaalia	Hot	-0.000577614435634039	0.000193871116591925	210	143	0.00325171089533432	0.0172929702981489
Temperature	Alloscardovia	Hot	-0.00017861743319898	5.99544049258786e-05	210	66	0.00325325549958023	0.0172929702981489
Temperature	Negativicoccus	Room Temp	-0.000158684521121422	5.35026875215369e-05	210	28	0.0033909497509422	0.0179566202720348
Kit	unclassified.Acidobacteriaceae	Zymo	0.000143690454398106	4.86130009764821e-05	210	178	0.00349917822734731	0.0184598157050247
Kit	Succiniclasticum	Zymo	0.000187022668921883	6.39425679019662e-05	210	181	0.00385034115987154	0.0201602132640465
Temperature	Xylanimonas	Hot	-0.000788037066457603	0.000269352669177453	210	137	0.00384067960415809	0.0201602132640465
Kit	unclassified.Sutterellaceae	Zymo	0.00390754637993416	0.00134008363723899	210	207	0.00395782455057746	0.020568917181068
Kit	Intestinibacter	Zymo	-0.00610758024359809	0.00209375735909757	210	119	0.00394392510034412	0.020568917181068
Temperature	Megamonas	Room Temp	-0.440347655193761	0.151209327036333	210	130	0.00400332739599427	0.0207283396281481
Temperature	Proteobacteria..environmental.samples	Room Temp	0.00952901493768252	0.00327943503567672	210	125	0.00408368748718388	0.0210664026091626
Temperature	Paraclostridium	Room Temp	-0.000130260760216589	4.48516979173774e-05	210	37	0.00410164551974604	0.0210812516051653
Temperature	Hyaloscypha	Hot	-0.000113488737117617	3.9103229142388e-05	210	31	0.0041264393011548	0.0211309968608586
Temperature	Lactococcus	Room Temp	-0.00163071166815501	0.000563256133770299	210	209	0.00421741507274594	0.021518052086492
Kit	Blautia	Zymo	0.692536900068166	0.239722416323342	210	209	0.00429847806858311	0.0218518994177425
Temperature	Candidatus.Stoquefichus	Room Temp	-0.000931737813318204	0.000323463823102336	210	204	0.00441000540432867	0.0223376360697518
Temperature	unclassified.Muribaculaceae	Room Temp	0.000816508199897516	0.000283907174402572	210	209	0.00447118811463472	0.022565779726568
Temperature	Marvinbryantia	Room Temp	-0.000542754866464134	0.000188845776155924	210	209	0.00449713376945465	0.0225732901578821
Kit	unclassified.Selenomonadales	Zymo	-0.000537342328170168	0.000186999843485115	210	87	0.00450496992421253	0.0225732901578821
Temperature	Coriobacterium	Hot	-0.000341009191399939	0.000118873703955835	210	30	0.0045713837699355	0.0228242661084637
Kit	Coprococcus	Zymo	0.302440527634083	0.105554855639763	210	209	0.00461906164140861	0.0228366062891931
Kit	Veillonella	Zymo	0.00477837315992458	0.0016685375401646	210	209	0.00463919612741834	0.0228366062891931
