taxid	Genus	mean16S	kingdom
490731	Kwoniella	0	Fungi
4930	Saccharomyces	0	Fungi
49928	unclassified Bacteria (miscellaneous)	1.94	Bacteria
503183	unclassified Opitutae	1.94	Bacteria
5052	Aspergillus	0	Fungi
50559	Clostridiales: environmental samples	1.94	Bacteria
507	Alcaligenes	3	Bacteria
5073	Penicillium	0	Fungi
50742	Bacteroidetes: environmental samples	1.94	Bacteria
5094	Talaromyces	0	Fungi
5140	Neurospora	0	Fungi
51514	Dehalobacterium	5	Bacteria
517	Bordetella	3.08	Bacteria
519427	Sharpea	1.94	Bacteria
5206	Cryptococcus	0	Fungi
52225	Mitsuokella	1.94	Bacteria
5263	Uromyces	0	Fungi
52959	Polaribacter	3.62	Bacteria
5296	Puccinia	0	Fungi
52972	Polaromonas	2.2	Bacteria
53335	Pantoea	6.75	Bacteria
53457	Janibacter	2	Bacteria
544	Citrobacter	7.76	Bacteria
5453	Ascochyta	0	Fungi
5455	Colletotrichum	0	Fungi
547	Enterobacter	7.93	Bacteria
5498	Cladosporium	0	Fungi
5506	Fusarium	0	Fungi
55080	Brevibacillus	12.25	Bacteria
551	Erwinia	6.4	Bacteria
55193	Malassezia	0	Fungi
552397	unclassified Ruminococcaceae	1.94	Bacteria
5543	Trichoderma	0	Fungi
561	Escherichia	7	Bacteria
56112	Dehalobacter	3.17	Bacteria
569836	unclassified Chitinophagaceae	1.94	Bacteria
570	Klebsiella	7.96	Bacteria
57138	Calonectria	0	Fungi
572511	Blautia	5.33	Bacteria
574697	Butyricimonas	5	Bacteria
57493	Kocuria	3	Bacteria
57495	Dermacoccus	3	Bacteria
577309	Paraprevotella	7	Bacteria
577310	Parasutterella	1.94	Bacteria
580024	Enterorhabdus	1.94	Bacteria
580596	Butyricicoccus	1.94	Bacteria
58229	Chloroflexi: environmental samples	1.94	Bacteria
58840	unclassified Rhodobacteraceae	1.94	Bacteria
588605	Robinsoniella	1.94	Bacteria
590	Salmonella	7	Bacteria
59732	Chryseobacterium	5.52	Bacteria
59738	Marinilabilia	1.94	Bacteria
59753	Alcanivorax	2.4	Bacteria
60892	Desulfobacca	1	Bacteria
60919	Sanguibacter	3.5	Bacteria
61170	Holdemania	1.94	Bacteria
613	Serratia	6.87	Bacteria
61432	unclassified Flavobacteriaceae	1.94	Bacteria
620	Shigella	7	Bacteria
626	Xenorhabdus	7	Bacteria
629	Yersinia	7	Bacteria
630749	Spongiibacter	2	Bacteria
642	Aeromonas	9.93	Bacteria
644652	Gordonibacter	3	Bacteria
653683	Anaerosporobacter	1.94	Bacteria
662	Vibrio	10.45	Bacteria
667305	unclassified Acidimicrobiaceae	1.94	Bacteria
670516	Mycobacteroides	1.17	Bacteria
68	Lysobacter	1.91	Bacteria
68287	Mesorhizobium	1.86	Bacteria
68296	unclassified Thermoanaerobacterales	1.94	Bacteria
69578	Cryobacterium	3	Bacteria
71245	Kazachstania	0	Fungi
714524	Tympanopsis	0	Fungi
724	Haemophilus	6	Bacteria
73918	Thermaerobacter	2	Bacteria
75	Caulobacter	2.12	Bacteria
758827	unclassified Succinivibrionaceae	1.94	Bacteria
76890	Asticcacaulis	3	Bacteria
78537	unclassified Actinobacteria (class) (miscellaneous)	1.94	Bacteria
79206	Desulfosporosinus	9.33	Bacteria
79328	Chitinophaga	4.54	Bacteria
79603	Denitrobacterium	3	Bacteria
80841	unclassified Burkholderiales (miscellaneous)	1.94	Bacteria
80865	Delftia	5	Bacteria
810	Chlamydia	1.23	Bacteria
81440	unclassified Caulobacteraceae	1.94	Bacteria
816	Bacteroides	4.66	Bacteria
82976	Buttiauxella	8	Bacteria
830	Butyrivibrio	5	Bacteria
832	Fibrobacter	3	Bacteria
83463	unclassified Myxococcales	1.94	Bacteria
83494	unclassified Comamonadaceae	1.94	Bacteria
836	Porphyromonas	3.75	Bacteria
83618	Pseudoxanthomonas	1.5	Bacteria
83654	Leclercia	8	Bacteria
83681	Nonomuraea	5	Bacteria
83770	Succinivibrio	7	Bacteria
838	Prevotella	4.1	Bacteria
84086	unclassified Firmicutes sensu stricto (miscellaneous)	1.94	Bacteria
841	Roseburia	5	Bacteria
84108	Slackia	2	Bacteria
84111	Eggerthella	2.67	Bacteria
84113	unclassified Coriobacteriaceae	1.94	Bacteria
