Well,Well96,PCR_Replicate,Plate,SampleName,Donor,Condition,Replicate,SampleCode,SampleNameFull,Omit,Sample,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues,logCopyNumber,CopyNumber,PlotOrder
J9,E5,Rep3,Plate2,D02_OR_R2,D02,OR,R2,2/1/01,D02_OR_R2_Rep3,FALSE,Sample,16S,Unknown,SYBR,9.26136508,0.943948929,3.474158793,Amp,FALSE,3,5,NA,NA,8.58426409302326,63990107924.0705,3
K1,F1,Rep1,Plate2,D06_ZF_R2,D06,ZF,R2,2/2/04,D06_ZF_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,15.27674688,0.900889118,3.48923777,Amp,FALSE,3,8,NA,NA,6.58579837873754,642165734.714701,5
K10,F5,Rep2,Plate2,D04_OH_R2,D04,OH,R2,2/2/19,D04_OH_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,8.71790186,0.916752444,3.476062449,Amp,FALSE,3,4,NA,NA,8.76481665780731,96976254726.3936,4
K11,F6,Rep1,Plate2,NCO_B4_R2,NCO,B4,R2,2/4/05,NCO_B4_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,25.79920797,0.852286002,3.462288687,Amp,FALSE,3,13,NA,NA,3.08996412956811,205027.860216972,7
K12,F6,Rep2,Plate2,NCO_B4_R2,NCO,B4,R2,2/4/05,NCO_B4_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,26.18448272,0.874581742,3.472411101,Amp,FALSE,3,14,NA,NA,2.96196587375415,152691.41627349,7
K13,F7,Rep1,Plate2,D02_OF_R2,D02,OF,R2,2/3/01,D02_OF_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,9.838466411,0.940286638,3.470681429,Amp,FALSE,3,5,NA,NA,8.39253607607974,41151419982.6334,2
K14,F7,Rep2,Plate2,D02_OF_R2,D02,OF,R2,2/3/01,D02_OF_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,9.684038718,0.938556707,3.466973956,Amp,FALSE,3,5,NA,NA,8.44384095747508,46311591637.6666,2
K17,F9,Rep1,Plate2,D01_OH_R2,D01,OH,R2,2/3/20,D01_OH_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,10.7894026,0.929146916,3.481168056,Amp,FALSE,3,6,NA,NA,8.07661043189369,19881959349.6289,4
K18,F9,Rep2,Plate2,D01_OH_R2,D01,OH,R2,2/3/20,D01_OH_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,11.12110006,0.911928732,3.481551755,Amp,FALSE,3,6,NA,NA,7.96641194019934,15426261526.1154,4
K2,F1,Rep2,Plate2,D06_ZF_R2,D06,ZF,R2,2/2/04,D06_ZF_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,15.56666464,0.914983896,3.48312037,Inconclusive,FALSE,3,8,NA,NA,6.48948018604651,514433136.934072,5
K21,F11,Rep1,Plate2,D04_OR_R2,D04,OR,R2,2/3/18,D04_OR_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,10.03584651,0.907457668,3.507322328,Amp,FALSE,3,5,NA,NA,8.3269612923588,35384253844.5044,3
K22,F11,Rep2,Plate2,D04_OR_R2,D04,OR,R2,2/3/18,D04_OR_R2_Rep2,FALSE,Sample,16S,Unknown,SYBR,10.58607716,0.906705799,3.507315862,Amp,FALSE,3,5,NA,NA,8.14416041196013,23227857957.2543,3
K23,F12,Rep1,Plate2,D01_ZH_R2,D01,ZH,R2,2/2/15,D01_ZH_R2_Rep1,FALSE,Sample,16S,Unknown,SYBR,17.16565484,0.857000212,NA,Amp,FALSE,3,9,NA,NA,5.95825420598007,151392010.188659,7
