sample	tax.level	method	value
Flex_D03-NF-R1	order	simpson	0.59
Flex_D09-NF-R1	order	simpson	0.565
Flex_D01-NF-R1	order	simpson	0.462
Flex_D06-NF-R1	order	simpson	0.526
Flex_D04-NF-R1	order	simpson	0.433
XT_D04-NFlex-R1-A	family	shannon	2.053
XT_D06-NFlex-R1-A	family	shannon	1.75
XT_D08-NFlex-R1-C	family	shannon	1.728
XT_D07-NFlex-R1-C	family	shannon	1.856
XT_D10-NFlex-R1-C	family	shannon	1.723
XT_D05-NFlex-R1-C	family	shannon	2.225
XT_D05-NFlex-R1-A	family	shannon	2.236
XT_D05-NFlex-R1-B	family	shannon	2.225
XT_D08-NFlex-R1-B	family	shannon	1.729
XT_D02-NFlex-R1-B	family	shannon	1.618
XT_D07-NFlex-R1-B	family	shannon	1.86
XT_D09-NFlex-R1-B	family	shannon	2.129
XT_D03-NFlex-R1-C	family	shannon	2.224
XT_D01-NFlex-R1-A	family	shannon	2.02
XT_D04-NFlex-R1-C	family	shannon	2.051
XT_D10-NFlex-R1-A	family	shannon	1.731
XT_D06-NFlex-R1-B	family	shannon	1.752
XT_D03-NFlex-R1-B	family	shannon	2.222
XT_D10-NFlex-R1-B	family	shannon	1.733
XT_D09-NFlex-R1-C	family	shannon	2.127
XT_D02-NFlex-R1-A	family	shannon	1.617
XT_D09-NFlex-R1-A	family	shannon	2.125
XT_D04-NFlex-R1-B	family	shannon	2.064
XT_D08-NFlex-R1-A	family	shannon	1.727
XT_D06-NFlex-R1-C	family	shannon	1.75
XT_D02-NFlex-R1-C	family	shannon	1.617
XT_D01-NFlex-R1-C	family	shannon	2.022
XT_D07-NFlex-R1-A	family	shannon	1.85
XT_D03-NFlex-R1-A	family	shannon	2.224
XT_D01-NFlex-R1-B	family	shannon	2.019
Flex_D10-NF-R1	family	shannon	1.852
Flex_D07-NF-R1	family	shannon	1.936
Flex_D08-NF-R1	family	shannon	1.836
Flex_D05-NF-R1	family	shannon	2.29
Flex_D02-NF-R1	family	shannon	1.74
Flex_D03-NF-R1	family	shannon	2.242
Flex_D09-NF-R1	family	shannon	2.179
Flex_D01-NF-R1	family	shannon	2.049
Flex_D06-NF-R1	family	shannon	1.87
Flex_D04-NF-R1	family	shannon	2.164
XT_D04-NFlex-R1-A	family	simpson	0.785
XT_D06-NFlex-R1-A	family	simpson	0.757
XT_D08-NFlex-R1-C	family	simpson	0.731
XT_D07-NFlex-R1-C	family	simpson	0.763
XT_D10-NFlex-R1-C	family	simpson	0.694
XT_D05-NFlex-R1-C	family	simpson	0.824
XT_D05-NFlex-R1-A	family	simpson	0.827
XT_D05-NFlex-R1-B	family	simpson	0.824
XT_D08-NFlex-R1-B	family	simpson	0.731
XT_D02-NFlex-R1-B	family	simpson	0.671
XT_D07-NFlex-R1-B	family	simpson	0.764
XT_D09-NFlex-R1-B	family	simpson	0.816
XT_D03-NFlex-R1-C	family	simpson	0.85
XT_D01-NFlex-R1-A	family	simpson	0.79
XT_D04-NFlex-R1-C	family	simpson	0.785
XT_D10-NFlex-R1-A	family	simpson	0.698
XT_D06-NFlex-R1-B	family	simpson	0.758
XT_D03-NFlex-R1-B	family	simpson	0.851
XT_D10-NFlex-R1-B	family	simpson	0.698
XT_D09-NFlex-R1-C	family	simpson	0.816
XT_D02-NFlex-R1-A	family	simpson	0.67
XT_D09-NFlex-R1-A	family	simpson	0.816
