feature,Sample_Type,estimate,CI_low,CI_high
Firmicutes: Subdoligranulum,ZF,0.005005056,0.003289347,0.007615671
Firmicutes: Subdoligranulum,ZR,0.005205033,0.003694551,0.007333061
Firmicutes: Subdoligranulum,ZH,0.004824416,0.003658872,0.006361248
Firmicutes: Gemmiger,NF,0.004763112,0.002621481,0.008654356
Firmicutes: Gemmiger,OF,0.003322204,0.001814353,0.006083183
Firmicutes: Gemmiger,OR,0.003054232,0.001696191,0.005499577
Firmicutes: Gemmiger,OH,0.003028834,0.001665083,0.005509535
Firmicutes: Gemmiger,ZF,0.003963448,0.002174138,0.007225355
Firmicutes: Gemmiger,ZR,0.003895297,0.002110898,0.0071881
Firmicutes: Gemmiger,ZH,0.003238968,0.001897641,0.005528396
Firmicutes: Butyricicoccus,NF,0.005517641,0.004262141,0.007142974
Firmicutes: Butyricicoccus,OF,0.004776221,0.003827705,0.005959781
Firmicutes: Butyricicoccus,OR,0.005062207,0.003874273,0.006614385
Firmicutes: Butyricicoccus,OH,0.004049022,0.003310134,0.004952845
Firmicutes: Butyricicoccus,ZF,0.005324244,0.00432164,0.00655945
Firmicutes: Butyricicoccus,ZR,0.00435805,0.003597287,0.005279701
Firmicutes: Butyricicoccus,ZH,0.004188474,0.003460565,0.005069493
Firmicutes: unclassified Oscillospiraceae,NF,0.001441062,0.000688964,0.003014176
Firmicutes: unclassified Oscillospiraceae,OF,0.001287372,0.000547719,0.003025871
Firmicutes: unclassified Oscillospiraceae,OR,0.001782389,0.000782708,0.004058872
Firmicutes: unclassified Oscillospiraceae,OH,0.001841887,0.000791245,0.004287606
Firmicutes: unclassified Oscillospiraceae,ZF,0.001834574,0.000818546,0.004111758
Firmicutes: unclassified Oscillospiraceae,ZR,0.002096778,0.000886475,0.004959509
Firmicutes: unclassified Oscillospiraceae,ZH,0.002259829,0.000986738,0.005175462
Firmicutes: unclassified Clostridiaceae,NF,0.003806367,0.003098024,0.004676668
Firmicutes: unclassified Clostridiaceae,OF,0.003608853,0.002875529,0.004529191
Firmicutes: unclassified Clostridiaceae,OR,0.003724689,0.002873804,0.004827507
Firmicutes: unclassified Clostridiaceae,OH,0.003697893,0.002828825,0.004833956
Firmicutes: unclassified Clostridiaceae,ZF,0.003758315,0.002922953,0.004832419
Firmicutes: unclassified Clostridiaceae,ZR,0.003892287,0.002991412,0.005064465
Firmicutes: unclassified Clostridiaceae,ZH,0.00410659,0.00312747,0.005392242
Firmicutes: Streptococcus,NF,0.003746545,0.002036793,0.006891521
Firmicutes: Streptococcus,OF,0.003542558,0.001986074,0.006318858
Firmicutes: Streptococcus,OR,0.002900635,0.001711939,0.004914711
Firmicutes: Streptococcus,OH,0.002284918,0.001314456,0.003971872
Firmicutes: Streptococcus,ZF,0.003014647,0.001805308,0.0050341
Firmicutes: Streptococcus,ZR,0.00162172,0.001077783,0.002440171
Firmicutes: Streptococcus,ZH,0.00156705,0.001035626,0.00237117
Firmicutes: Anaerostipes,NF,0.005022079,0.003754015,0.00671848
Firmicutes: Anaerostipes,OF,0.003675769,0.002608561,0.00517959
Firmicutes: Anaerostipes,OR,0.002896095,0.002016098,0.004160197
Firmicutes: Anaerostipes,OH,0.002468495,0.001640537,0.003714311
Firmicutes: Anaerostipes,ZF,0.003776451,0.002794711,0.005103062
Firmicutes: Anaerostipes,ZR,0.002325466,0.001548277,0.003492781
Firmicutes: Anaerostipes,ZH,0.001536842,0.001032269,0.002288051
Firmicutes: Flavonifractor,NF,0.003383513,0.002510827,0.004559519
Firmicutes: Flavonifractor,OF,0.002668494,0.002191809,0.003248851
Firmicutes: Flavonifractor,OR,0.003149122,0.002569023,0.003860211
Firmicutes: Flavonifractor,OH,0.003175523,0.002575977,0.00391461
Firmicutes: Flavonifractor,ZF,0.003331324,0.002610939,0.004250471
Firmicutes: Flavonifractor,ZR,0.003712895,0.003013793,0.004574167
Firmicutes: Flavonifractor,ZH,0.003861752,0.002985214,0.004995664
Firmicutes: Lachnoclostridium,NF,0.003133144,0.002008371,0.004887837
Firmicutes: Lachnoclostridium,OF,0.002428379,0.0016119,0.00365843
Firmicutes: Lachnoclostridium,OR,0.002240855,0.001550701,0.003238169
Firmicutes: Lachnoclostridium,OH,0.002412188,0.001667514,0.003489416
Firmicutes: Lachnoclostridium,ZF,0.002643622,0.001758381,0.003974531
Firmicutes: Lachnoclostridium,ZR,0.002798886,0.001810954,0.004325766
Firmicutes: Lachnoclostridium,ZH,0.002931131,0.001846196,0.004653638
Firmicutes: Clostridiales: environmental samples,NF,0.001821718,0.001055359,0.003144574
Firmicutes: Clostridiales: environmental samples,OF,0.001683373,0.000811003,0.003494127
