Patient,Protocol_1,Protocol_2,Protocols,bcdist
D02,ZR,OR,ZR_OR,0.641140861
D02,ZR,OR,ZR_OR,0.725974829
D02,ZR,ZF,ZR_ZF,0.216891208
D02,ZR,ZF,ZR_ZF,0.370909835
D02,ZR,ZF,ZR_ZF,0.176439022
D02,ZR,ZH,ZR_ZH,0.311791106
D02,ZR,ZH,ZR_ZH,0.294639552
D02,ZR,ZH,ZR_ZH,0.278500253
D02,ZR,ZR,ZR_ZR,0.086171803
D02,ZR,ZR,ZR_ZR,0.279840518
D02,ZR,NF,ZR_NF,0.225036445
D02,ZR,NF,ZR_NF,0.23228112
D02,ZR,NF,ZR_NF,0.269790886
D02,ZR,OF,ZR_OF,0.163307505
D02,ZR,OF,ZR_OF,0.146720543
D02,ZR,OF,ZR_OF,0.24662732
D02,ZR,OR,ZR_OR,0.669016266
D02,ZR,OR,ZR_OR,0.754037601
D02,ZR,ZF,ZR_ZF,0.155113114
D02,ZR,ZF,ZR_ZF,0.122138475
D02,ZR,ZF,ZR_ZF,0.136050671
D02,ZR,ZH,ZR_ZH,0.518963576
D02,ZR,ZH,ZR_ZH,0.503867452
D02,ZR,ZH,ZR_ZH,0.484906112
D02,ZR,ZR,ZR_ZR,0.293665334
D02,ZR,ZR,ZR_ZR,0.279840518
D03,NF,NF,NF_NF,0.126107096
D03,NF,NF,NF_NF,0.086677176
D03,NF,OF,NF_OF,0.384552064
D03,NF,OF,NF_OF,0.37932641
D03,NF,OF,NF_OF,0.342160915
D03,NF,OR,NF_OR,0.446623608
D03,NF,OR,NF_OR,0.399782823
D03,NF,OR,NF_OR,0.407643872
D03,NF,ZF,NF_ZF,0.283413202
D03,NF,ZF,NF_ZF,0.308637032
D03,NF,ZF,NF_ZF,0.308687912
D03,NF,ZH,NF_ZH,0.631397479
D03,NF,ZH,NF_ZH,0.638548295
D03,NF,ZH,NF_ZH,0.635021997
D03,NF,ZR,NF_ZR,0.532423597
D03,NF,ZR,NF_ZR,0.461096017
D03,NF,ZR,NF_ZR,0.302518691
D03,NF,NF,NF_NF,0.126107096
D03,NF,NF,NF_NF,0.071156125
D03,NF,OF,NF_OF,0.323792629
D03,NF,OF,NF_OF,0.353446276
D03,NF,OF,NF_OF,0.302901286
D03,NF,OR,NF_OR,0.384486788
D03,NF,OR,NF_OR,0.33279753
