Sample	Sample_Type	Patient	Relative Abundance: Firmicutes	Relative Abundance: Bacteroidetes
D05-NF-R1	NF_OF_ZF	D05	0.456808094	0.273109927
D05-NF-R2	NF_OF_ZF	D05	0.530526751	0.160301127
D05-OF-R2	NF_OF_ZF	D05	0.420050445	0.327643584
D05-ZF-R3	NF_OF_ZF	D05	0.457142532	0.296127387
D05-OF-R1	NF_OF_ZF	D05	0.379746149	0.385047159
D05-NF-R3	NF_OF_ZF	D05	0.490603275	0.201268287
D05-ZF-R1	NF_OF_ZF	D05	0.457519913	0.293499203
D06-NF-R2	NF	D06	0.555000842	0.271784416
D06-NF-R3	NF	D06	0.565488805	0.25794074
D06-NF-R1	NF	D06	0.607641188	0.210678084
D06-ZR-R2	NF_OF_OR_OH_ZF_ZR_ZH	D06	0.367902471	0.476091457
D06-ZF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D06	0.513082075	0.308333902
D06-ZH-R3	NF_OF_OR_OH_ZF_ZR_ZH	D06	0.441371436	0.393935249
D06-ZR-R3	NF_OF_OR_OH_ZF_ZR_ZH	D06	0.487160035	0.293338064
D06-OR-R1	NF_OF_OR_OH_ZF_ZR_ZH	D06	0.352458878	0.51563675
D06-OH-R1	NF_OF_OR_OH_ZF_ZR_ZH	D06	0.499705806	0.337507859
D06-OH-R3	NF_OF_OR_OH_ZF_ZR_ZH	D06	0.524902645	0.308775861
D06-OH-R2	NF_OF_OR_OH_ZF_ZR_ZH	D06	0.497946581	0.350797853
D06-ZF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D06	0.652623458	0.174101608
D06-ZH-R1	NF_OF_OR_OH_ZF_ZR_ZH	D06	0.387669834	0.487859846
D06-OF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D06	0.357905509	0.491341449
D06-OR-R2	NF_OF_OR_OH_ZF_ZR_ZH	D06	0.381849989	0.477815803
D06-NF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D06	0.555000842	0.271784416
D06-NF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D06	0.565488805	0.25794074
D06-ZR-R1	NF_OF_OR_OH_ZF_ZR_ZH	D06	0.512284858	0.265234352
D06-OR-R3	NF_OF_OR_OH_ZF_ZR_ZH	D06	0.505609297	0.332512575
D06-NF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D06	0.607641188	0.210678084
D06-ZH-R2	NF_OF_OR_OH_ZF_ZR_ZH	D06	0.42390639	0.39368006
D06-OF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D06	0.520090584	0.303952822
D06-ZF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D06	0.466771451	0.354813569
D06-OF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D06	0.332120993	0.526767734
D06-ZR-R2	NF_OF_OR_ZF_ZR	D06	0.367902471	0.476091457
D06-ZF-R2	NF_OF_OR_ZF_ZR	D06	0.513082075	0.308333902
D06-ZR-R3	NF_OF_OR_ZF_ZR	D06	0.487160035	0.293338064
D06-OR-R1	NF_OF_OR_ZF_ZR	D06	0.352458878	0.51563675
D06-ZF-R3	NF_OF_OR_ZF_ZR	D06	0.652623458	0.174101608
D06-OF-R2	NF_OF_OR_ZF_ZR	D06	0.357905509	0.491341449
D06-OR-R2	NF_OF_OR_ZF_ZR	D06	0.381849989	0.477815803
D06-NF-R2	NF_OF_OR_ZF_ZR	D06	0.555000842	0.271784416
D06-NF-R3	NF_OF_OR_ZF_ZR	D06	0.565488805	0.25794074
D06-ZR-R1	NF_OF_OR_ZF_ZR	D06	0.512284858	0.265234352
D06-OR-R3	NF_OF_OR_ZF_ZR	D06	0.505609297	0.332512575
D06-NF-R1	NF_OF_OR_ZF_ZR	D06	0.607641188	0.210678084
D06-OF-R3	NF_OF_OR_ZF_ZR	D06	0.520090584	0.303952822
D06-ZF-R1	NF_OF_OR_ZF_ZR	D06	0.466771451	0.354813569
D06-OF-R1	NF_OF_OR_ZF_ZR	D06	0.332120993	0.526767734
D06-ZF-R2	NF_OF_ZF	D06	0.513082075	0.308333902
D06-ZF-R3	NF_OF_ZF	D06	0.652623458	0.174101608
D06-OF-R2	NF_OF_ZF	D06	0.357905509	0.491341449
D06-NF-R2	NF_OF_ZF	D06	0.555000842	0.271784416
D06-NF-R3	NF_OF_ZF	D06	0.565488805	0.25794074
D06-NF-R1	NF_OF_ZF	D06	0.607641188	0.210678084
D06-OF-R3	NF_OF_ZF	D06	0.520090584	0.303952822
D06-ZF-R1	NF_OF_ZF	D06	0.466771451	0.354813569
D06-OF-R1	NF_OF_ZF	D06	0.332120993	0.526767734
D07-NF-R1	NF	D07	0.675113591	0.202615478
D07-NF-R2	NF	D07	0.587144525	0.249830466
D07-NF-R3	NF	D07	0.649695612	0.191036394
D07-NF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D07	0.675113591	0.202615478
D07-ZH-R3	NF_OF_OR_OH_ZF_ZR_ZH	D07	0.598964675	0.251169871
D07-ZH-R1	NF_OF_OR_OH_ZF_ZR_ZH	D07	0.506497404	0.334879656
D07-OR-R1	NF_OF_OR_OH_ZF_ZR_ZH	D07	0.654609681	0.208257498
D07-OR-R3	NF_OF_OR_OH_ZF_ZR_ZH	D07	0.580151689	0.268858571
