XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
Lentisphaeria	98678	98	61	4880	32	227	275	246	101	146	5321	8455	99	248	89184	27	78	91	19	9650	126	8338	90381	78	75	133	270	4975	103	211	32	12185	155	366	156	249	5908	256	132	308397
Fibrobacteria	736	255	132	93	144	220	229	224	138	297	100	201	216	322	654	159	203	161	177	263	275	242	642	108	194	294	252	117	216	230	242	497	321	398	372	682	177	259	542	1635
Gemmatimonadetes (219685)	117	52	36	38	24	110	129	156	50	56	56	101	86	130	98	28	70	65	26	119	38	102	95	53	51	24	123	39	79	92	56	155	93	179	55	249	106	125	81	249
Bacilli	51699	72472	83329	112281	52055	108192	121313	127192	95538	101130	136049	62677	224814	343833	45336	48991	68726	195029	57156	74541	101427	65327	44570	82043	55406	91736	303052	125473	215366	249837	88835	647380	149360	238574	256136	803109	78481	279602	103696	143894
Clostridia	17819540	16364782	8372919	12875854	6878597	6385756	7422459	7524444	9710113	12884921	15146018	12605606	9254733	21698454	15854099	6721941	15492473	7743647	7848799	14772660	12687284	12815077	15689636	8026961	12615238	11721671	20523386	14197043	8625023	17054610	14455340	64127933	15696940	14872545	18336699	28169307	16152619	19023410	26628092	37654835
Erysipelotrichia	394365	51385	38921	207221	56658	41274	46851	48324	45619	56142	254318	151080	75979	78712	347633	52802	47939	69712	64333	170928	54356	145488	330784	41361	38413	52293	73810	209181	76021	60198	199864	2465588	97674	135639	132328	363533	326915	88878	144459	1095362
Negativicutes	379098	206043	28552	7626	367719	291535	337925	343168	33157	61261	8966	508452	1748199	185056	336437	336090	199982	1602677	418888	596247	60469	511826	347425	27195	162622	56141	173793	8281	1720623	144948	826656	45900	74314	761818	111177	6592123	562763	211709	466853	923521
Limnochordia	22	14	16	12	12	46	63	59	4	13	10	5	13	44	25	16	15	11	20	9	15	11	23	8	16	18	33	10	11	38	10	58	11	77	19	27	7	45	18	58
Tissierellia	845	598	299	355	1485	557	662	703	363	804	429	512	563	1087	736	1329	629	474	1669	607	740	527	743	274	509	693	1036	349	475	877	5931	2189	523	1911	1206	2039	526	1019	921	2391
Deinococci	411	294	183	170	80	809	851	788	214	229	207	341	166	372	400	83	250	159	75	378	233	316	388	190	207	204	402	183	156	328	138	840	425	1432	252	522	394	357	423	1027
